Avalanche Year,YYYY,MM,DD,PLACE,SETTING,STATE,LAT,LON,Primary Activity,Travel Mode,KL
2012,2012,2,20,"Lost Johnny drainage, east of Kaispell",BC,MT, 48.24219,-114.00475,Snowmobiler,Snowmobile,1
2012,2012,2,19,"Tunnel Creek, near Steven Pass",BC,WA, 47.73095,-121.10187,Sidecountry Rider,Ski,3
2012,2012,2,22,"Miller Road, north of Cooke City",BC,MT, 45.03811, -109.94252,Snowmobiler,Snowmobile,1
2012,2012,2,13,"Contention Fingers, Bear Creek, Telluride",BC,CO, 37.92179,-107.80952,Sidecountry Rider,Snowboard,1
2012,2012,3,13,"Takin Ridge, northwest of Haines",BC,AK,59.30267,-136.0355,Mechanized Guide,Ski,2
2013,2013,3,3,"Takhinsha Mtns, West of Haines",BC,AK,59.23428,-135.44838,Mechanized Guiding Client,Snowboard,1
2014,2014,3,19,"Kicking Horse Valley, west of Haines",BC,AK,59.174833,-135.94405,Mechanized Guide,Ski,1
2014,2014,5,14,North face of Mount Shuksan,BC,WA,48.83072,-121.60287,Backcountry Tourer,Foot,1
2012,2012,2,25,"Skyline Creek, near Marias Pass",BC,MT,48.28091, -113.34938,Snowmobiler,Snowmobile,1
2014,2014,2,22,"Troy, West Cabinet Mountain Range",BC,MT,48.24066,-116.0307,Snowmobiler,Snowmobile,1
2012,2012,2,1,"Twin Lakes, Swan Range",BC,MT,48.185517,-113.947749,Backcountry Tourer,Ski,1
2014,2014,1,18,"Lewis Peak, Cascades north of Stevens Pass",BC,WA,48.00566,-121.46261,Climber,Foot,1
2013,2013,4,13,Red Mountain  ,BC,WA,47.4556,-121.38923,Hiker,Snowshoe,1
2012,2012,2,19,"WAC Bluffs, near Snoqualimie Pass",BC,WA,47.436869,-121.422207,Sidecountry Rider,Snowboard,1
2014,2014,4,3,Granite Mountain,BC,WA,47.42995,-121.63033,Backcountry Tourer,Ski,1
2013,2013,4,13,Granite Mountain near Snoqualmie Pass,BC,WA,47.41624,-121.48046,Hiker,Snowshoe,1
2014,2014,2,28,"Mount Jumbo, Missoula",TN,MT,46.874,-113.9641,Resident,Foot,1
2012,2012,1,1,"Phillipsburg, Flint Range, Red Lion",BC,MT,46.2846,-113.1553,Snowmobiler,Snowmobile,1
2014,2014,3,10,"Altoona, about 10 miles northeast of Philipsburg, Montana",BC,MT,46.2216,-113.1427,Backcountry Tourer,Ski,1
2014,2014,5,3,"Olson Gulch, west of Anaconda",BC,MT,46.191151,-113.12302,Backcountry Tourer,Ski,1
2014,2014,1,13,"Onion Basin, northern Gallatin Range",BC,MT,45.19274,-111.11318,Snowmobiler,Snowmobile,1
2012,2011,12,31,"Henderson Mountain, near Cooke City",BC,MT,45.05912,-109.948,Snowmobiler,Snowmobile,1
2014,2014,3,11,"Cooke City, Montana",BC,MT,45.04988,-109.96267,Snowmobiler,Snowmobile,1
2014,2014,2,11,"SW face of Cornucopia Peak, Wallowa Mountains",BC,OR,45.0200391,-117.2585298,Human-powered Guide Client,Ski,2
2012,2011,12,31,"Hayden Creek, south of Cooke City",BC,MT,44.98826,-109.9001,Backcountry Tourer,Ski,1
2013,2013,3,1,"Huntington Ravine, Mt Washington",BC,NH,44.27458,-71.28565,Climber,Foot,1
2013,2013,1,27,"Survey Peak, Grand Teton National Park",BC,WY,44.034489,-110.841614,Backcountry Tourer,Ski,1
2012,2012,3,7,"Ranger Peak, Grand Teton National Park",BC,WY,43.92408,-110.75205,Backcountry Tourer,Ski,2
2014,2014,2,17,"Frenchman Creek, northwest of Galena Summit",BC,ID,43.87049,-114.71289,Snowmobiler,Foot,1
2014,2014,2,18,Near Togwotee Pass,BC,WY,43.812885,-110.170448,Snowmobiler,Snowmobile,1
2014,2014,4,14,"Paulina Peak, south of Bend",BC,OR,43.72534,-121.23121,Snowmobiler,Snowmobile,1
2012,2012,2,27,"Togowotee Pass, Grouse Mountain",BC,WY,43.707401,-110.223457,Snowmobiler,Snowmobile,1
2013,2013,3,1,Prospector Mountain,BC,WY,43.6562,-110.83179,Backcountry Tourer,Ski,1
2014,2013,12,26,"Pucker Face, near Jackson Hole Mountain Resort",BC,WY,43.589809,-110.889603,Sidecountry Rider,Ski,1
2014,2013,12,26,"Neely's, Palisades Peak",BC,ID,43.44151,-111.08833,Snowmobiler,Snowmobile,1
2013,2013,1,27,"Clause Creek, southwest of Hoback Canyon",BC,WY,43.167988,-110.562202,Backcountry Tourer,Ski,1
2014,2014,4,28,Crater Lake National Park,BC,OR,42.94208,-122.10402,Hiker,Snowshoe,1
2014,2014,3,7,"Gold Hill, Uinta Mountains",BC,UT,40.81277,-11089685,Snowmobiler,Snowmobile,1
2012,2012,2,23,"Dutch Draw, Park City Ridgeline",BC,UT,40.65258, -111.5926,Sidecountry Rider,Snowboard,1
2013,2013,4,11,Kessler Peak Big Cottonwood Canyon,BC,UT,40.629,-111.666412,Highway Personnel,Ski,1
2012,2012,1,28,"Little Giant, West Kessler, Big Cottonwood Canyon",BC,UT,40.62223, -111.66989,Backcountry Tourer,Snowboard,1
2012,2011,11,13,"Gad Valley, Little Cottonwood Canyon",BC,UT,40.56899,-111.65284,Backcountry Tourer,Snowboard,1
2012,2012,1,21,"Chedsey Creek, North Park",BC,CO,40.56363,-106.64257,Snowmobiler,Snowmobile,1
2013,2013,3,2,"Nokhu Crags, Never Summer Mountains",BC,CO,40.49092,-105.89048,Backcountry Tourer,Ski,1
2013,2013,1,18,West Fork Duchesne,BC,UT,40.48247,-111.03127,Snowmobiler,Foot,2
2014,2014,2,8,Near Tibble Fork Reservoir,BC,UT,40.48077,-111.64719,Snowplayer,Snowshoe,1
2013,2013,3,17, Ypsilon Mountain Rocky Mountain National Park,BC,CO,40.45562,-105.67725,Climber,Foot,1
2014,2013,12,31,"Parkview Mountain, west of Willow Creek Pass",BC,CO,40.34187,-106.11978,Backcountry Tourer,Snowboard,1
2012,2012,1,22,"Trestle Trees, Winter Park",SA,CO,39.85833, -105.76066,Inbounds Rider,Ski,1
1995,1995,2,12,DRY GULCH,BC,CO,39.701246,-105.885877,Backcountry Tourer,Ski,1
2013,2013,4,20,Sheep Creek north of Lovalend Pass,BC,CO,39.6789,-105.86839,Backcountry Tourer,Snowboard,5
2011,2011,5,21,Torreys Peak,BC,CO,39.64473,-105.81825,Backcountry Tourer,Snowboard,1
2012,2012,1,22,Prima Cornice,SA,CO,39.61276, -106.35495,Inbounds Rider,Ski,1
2014,2014,1,7,"East Vail, backcountry southeast of Vail Ski Area",BC,CO,39.60073,-106.29978,Sidecountry Rider,Ski,1
2014,2014,2,10,Left Fork Huntington Creek,BC,UT,39.58532,-111.26644,Snowmobiler,Snowmobile,1
1996,1995,12,31,VAIL PASS Narrows,BC,CO,39.581165,-106.251647,Backcountry Tourer,Snowboard,1
2014,2014,2,10,"North Fork Swan River, south of Keystone Ski Area",BC,CO,39.54075,-105.90855,Sidecountry Rider,Ski,1
2013,2013,4,18,Ptarmigan Hill near Vail Pass,BC,CO,39.45593,-106.26114,Hybrid Rider,Snowboard,1
2013,2012,12,24,Donner Ski Ranch,SA,CA,39.31763,-120.32956,Inbounds Rider,Snowboard,1
2012,2012,1,18,Burnt Mountain near Snowmass Village,BC,CO,39.18217,-106.92676,Sidecountry Rider,Ski,1
2013,2012,12,24,Alpine Meadows Ski Area,SA,CA,39.17845,-120.22751,Ski Patroller,Ski,1
2013,2012,12,30,"Ships Prow Glades, Snowmass Ski Area",SA,CO,39.170414,-106.939467,Ski Patroller,Ski,1
2012,2012,3,1,Polaris Point,BC,CA,39.12287, -120.20416,Backcountry Tourer,Ski,1
2014,2014,2,15,"Star Mountain, near Twin Lakes",BC,CO,39.06118,-106.5181,Backcountry Tourer,Ski,2
2013,2013,1,13,"Raspberry Creek, near Marble",BC,CO,39.04965,-107.19536,Backcountry Tourer,Ski,1
2013,2013,3,1,"12 Mile Canyon, Manti Skyline",BC,UT,39.0436,-111.519,Snowmobiler,Snowmobile,1
2014,2014,2,10,"Near Kebler Pass, west of Crested Butte",BC,CO,38.85522,-107.07288,Snowmobiler,Snowmobile,1
2012,2012,2,5,Lost Creek Reservior,BC,UT,38.71646,-111.72199,Snowmobiler,Snowmobile,1
2012,2012,3,2,"Forestdale Divide, Carson Pass",BC,CA,38.6687,-119.95553,Snowmobiler,Snowmobile,1
2012,2012,3,3,"Beaver Basin, La Sal Mountains",BC,UT,38.53887,-109.20981,Snowmobiler,Snowmobile,1
2013,2013,2,2,"Cement Creek, near Silverton",BC,CO,37.89819,-107.65301,Backcountry Tourer,Ski,1
2012,2012,3,30,"Ophir Pass, Paradise Basin",BC,CO,37.84165,-107.7812,Backcountry Tourer,Ski,1
2012,2012,2,16,"Gibbs Creek, near Wolf Creek Pass",BC,CO,37.49628,-106.80359,Backcountry Tourer,Ski,1
2014,2014,3,5,"Sharkstooth Peak, La Plata Mountains",BC,CO,37.46096,-108.0689,Snowmobiler,Snowmobile,1
2014,2014,3,4,"Diablo Ridge, Pt. 12,505, approx. 1 mile W of Conejos Peak",BC,CO,37.29154,-106.56876,Ski Patroller,Ski,1
2011,2011,4,26,"Split Mountain, south of Bishop",BC,CA,37.02093,-118.42155,Backcountry Tourer,Ski,2
